Feature Name,Alpha = 1000.000000,Alpha = 2000.000000,Alpha = 3000.000000,Alpha = 4000.000000,Alpha = 5000.000000
MSSubClass,-6113.122511102568,-4906.933881116697,-3896.483523889271,-2886.992963774718,-1716.3214256884378
LotFrontage,-0.0,0.0,0.0,0.0,0.0
LotArea,3444.2148662280606,2964.02413184596,2453.6436152215647,1951.344933372549,1444.97191198764
OverallQual,20304.204610659668,24803.818753060303,27596.765219112604,28004.58790645149,28161.937555454933
OverallCond,4325.327385728757,1700.1779120116778,0.0,0.0,0.0
YearBuilt,6681.113602057214,5734.199398817953,4357.61245592324,3985.4159955835103,3584.7208242084716
YearRemodAdd,2334.9663076761376,4673.135796646711,5330.745645017101,4814.349476680328,4252.459821449596
MasVnrArea,4165.826362640175,4241.328229759514,4242.631382877742,3710.3376267697154,3132.573016995856
BsmtFinSF1,3299.4201883867836,4479.450498892653,5275.271783228135,5295.134060263231,5237.000001733022
BsmtFinSF2,0.0,0.0,0.0,0.0,0.0
BsmtUnfSF,-0.0,-0.0,-0.0,-0.0,-0.0
TotalBsmtSF,3106.3450196047784,3968.9498849937536,3995.487112638139,4362.853157239085,4680.472368688024
1stFlrSF,0.0,606.3013806282148,1843.26388186684,2056.0769301899563,2409.938519303041
2ndFlrSF,0.0,0.0,0.0,0.0,0.0
LowQualFinSF,-175.70732700493733,-0.0,-0.0,-0.0,-0.0
GrLivArea,24238.84450673577,23884.47803351599,22613.73627474212,21862.485563143415,21234.254812812145
BsmtFullBath,3275.1968123155507,2622.7482876768104,1900.4444800755919,1130.8071083280995,368.8095410547687
BsmtHalfBath,0.0,0.0,0.0,0.0,0.0
FullBath,1823.9381694350368,228.2461738704771,0.0,0.0,0.0
HalfBath,0.0,0.0,0.0,0.0,0.0
BedroomAbvGr,-1324.966158269933,-0.0,-0.0,-0.0,-0.0
KitchenAbvGr,-1717.7399613416849,-1039.7454683801484,-483.496663603883,-0.0,-0.0
TotRmsAbvGrd,1615.3374911664275,0.0,0.0,0.0,0.0
Fireplaces,3111.1313102333906,2925.041258355535,2678.7950187607394,2384.6421382059875,2015.628998682591
GarageYrBlt,0.0,0.0,0.0,0.0,0.0
GarageCars,7901.4092854988485,8348.318729335275,7926.856608374709,7720.695102728046,7586.808319521158
GarageArea,0.0,0.05074917197175116,862.6835679800593,1100.4253254558141,1268.5155827386322
WoodDeckSF,2339.736195202507,2147.533258043492,1953.6707954207272,1568.7683966112754,1140.6123685877576
OpenPorchSF,0.0,0.0,0.0,0.0,0.0
EnclosedPorch,-0.0,-0.0,-0.0,-0.0,-0.0
3SsnPorch,0.0,0.0,0.0,0.0,0.0
ScreenPorch,1748.7558360650032,870.9033313963533,23.727463487418998,0.0,0.0
PoolArea,-0.0,-0.0,-0.0,-0.0,-0.0
MiscVal,-0.0,-0.0,-0.0,-0.0,-0.0
MoSold,-0.0,-0.0,-0.0,-0.0,-0.0
YrSold,-0.0,-0.0,-0.0,-0.0,-0.0
MSZoning_C (all),-0.0,-0.0,-0.0,-0.0,-0.0
MSZoning_FV,0.0,0.0,0.0,0.0,0.0
MSZoning_RH,-0.0,-0.0,-0.0,-0.0,-0.0
MSZoning_RL,0.0,0.0,0.0,0.0,0.0
MSZoning_RM,-0.0,-0.0,-0.0,-0.0,-0.0
Street_Grvl,-0.0,-0.0,-0.0,-0.0,-0.0
Street_Pave,0.0,0.0,0.0,0.0,0.0
Alley_Grvl,-0.0,-0.0,-0.0,-0.0,-0.0
Alley_Pave,-0.0,-0.0,-0.0,-0.0,-0.0
LotShape_IR1,0.0,0.0,0.0,0.0,0.0
LotShape_IR2,0.0,0.0,0.0,0.0,0.0
LotShape_IR3,-0.0,-0.0,-0.0,-0.0,-0.0
LotShape_Reg,-0.0,-0.0,-0.0,-0.0,-0.0
LandContour_Bnk,-0.0,-0.0,-0.0,-0.0,-0.0
LandContour_HLS,0.0,0.0,0.0,0.0,0.0
LandContour_Low,0.0,0.0,0.0,0.0,0.0
LandContour_Lvl,0.0,-0.0,-0.0,-0.0,-0.0
Utilities_AllPub,0.0,0.0,0.0,0.0,0.0
Utilities_NoSeWa,-0.0,-0.0,-0.0,-0.0,-0.0
LotConfig_Corner,-0.0,-0.0,-0.0,-0.0,-0.0
LotConfig_CulDSac,0.0,0.0,0.0,0.0,0.0
LotConfig_FR2,-0.0,-0.0,-0.0,-0.0,-0.0
LotConfig_FR3,-0.0,-0.0,-0.0,-0.0,-0.0
LotConfig_Inside,-0.0,-0.0,-0.0,-0.0,-0.0
LandSlope_Gtl,-0.0,-0.0,-0.0,-0.0,-0.0
LandSlope_Mod,0.0,0.0,0.0,0.0,0.0
LandSlope_Sev,-0.0,0.0,0.0,0.0,0.0
Neighborhood_Blmngtn,-0.0,-0.0,-0.0,-0.0,-0.0
Neighborhood_Blueste,-0.0,-0.0,-0.0,-0.0,-0.0
Neighborhood_BrDale,-0.0,-0.0,-0.0,-0.0,-0.0
Neighborhood_BrkSide,0.0,0.0,0.0,0.0,0.0
Neighborhood_ClearCr,0.0,0.0,0.0,0.0,0.0
Neighborhood_CollgCr,-0.0,-0.0,-0.0,-0.0,-0.0
Neighborhood_Crawfor,0.0,0.0,0.0,0.0,0.0
Neighborhood_Edwards,-0.0,-0.0,-0.0,-0.0,-0.0
Neighborhood_Gilbert,-0.0,-0.0,-0.0,-0.0,-0.0
Neighborhood_IDOTRR,-0.0,-0.0,-0.0,-0.0,-0.0
Neighborhood_MeadowV,0.0,0.0,0.0,-0.0,-0.0
Neighborhood_Mitchel,-0.0,-0.0,-0.0,-0.0,-0.0
Neighborhood_NAmes,-0.0,-0.0,-0.0,-0.0,-0.0
Neighborhood_NPkVill,-0.0,-0.0,-0.0,-0.0,-0.0
Neighborhood_NWAmes,-0.0,-0.0,-0.0,-0.0,-0.0
Neighborhood_NoRidge,0.0,0.0,0.0,0.0,0.0
Neighborhood_NridgHt,2059.551184964918,0.0,0.0,0.0,0.0
Neighborhood_OldTown,-0.0,-0.0,-0.0,-0.0,-0.0
Neighborhood_SWISU,-0.0,-0.0,-0.0,-0.0,-0.0
Neighborhood_Sawyer,0.0,-0.0,-0.0,-0.0,-0.0
Neighborhood_SawyerW,-0.0,-0.0,-0.0,-0.0,-0.0
Neighborhood_Somerst,0.0,0.0,0.0,0.0,0.0
Neighborhood_StoneBr,0.0,0.0,0.0,0.0,0.0
Neighborhood_Timber,-0.0,-0.0,0.0,0.0,0.0
Neighborhood_Veenker,0.0,0.0,0.0,0.0,0.0
Condition1_Artery,-0.0,-0.0,-0.0,-0.0,-0.0
Condition1_Feedr,-0.0,-0.0,-0.0,-0.0,-0.0
Condition1_Norm,5337.189635093484,0.0,0.0,0.0,0.0
Condition1_PosA,-0.0,-0.0,-0.0,-0.0,-0.0
Condition1_PosN,-0.0,-0.0,-0.0,-0.0,-0.0
Condition1_RRAe,-0.0,-0.0,-0.0,-0.0,-0.0
Condition1_RRAn,0.0,-0.0,-0.0,-0.0,-0.0
Condition1_RRNe,-0.0,-0.0,-0.0,-0.0,-0.0
Condition1_RRNn,-0.0,-0.0,-0.0,-0.0,0.0
Condition2_Artery,0.0,0.0,0.0,-0.0,-0.0
Condition2_Feedr,-0.0,-0.0,-0.0,-0.0,-0.0
Condition2_Norm,0.0,0.0,0.0,0.0,0.0
Condition2_PosA,0.0,0.0,0.0,0.0,0.0
Condition2_PosN,-0.0,-0.0,-0.0,-0.0,-0.0
Condition2_RRAe,-0.0,-0.0,-0.0,-0.0,-0.0
Condition2_RRAn,-0.0,-0.0,-0.0,-0.0,-0.0
Condition2_RRNn,0.0,0.0,0.0,0.0,0.0
BldgType_1Fam,0.0,0.0,0.0,0.0,0.0
BldgType_2fmCon,0.0,0.0,0.0,-0.0,-0.0
BldgType_Duplex,-0.0,-0.0,-0.0,-0.0,-0.0
BldgType_Twnhs,-0.0,-0.0,-0.0,-0.0,-0.0
BldgType_TwnhsE,-0.0,-0.0,-0.0,-0.0,-0.0
HouseStyle_1.5Fin,-0.0,-0.0,-0.0,-0.0,-0.0
HouseStyle_1.5Unf,0.0,0.0,-0.0,-0.0,-0.0
HouseStyle_1Story,0.0,0.0,0.0,0.0,0.0
HouseStyle_2.5Fin,-0.0,-0.0,-0.0,-0.0,-0.0
HouseStyle_2.5Unf,-0.0,-0.0,-0.0,-0.0,-0.0
HouseStyle_2Story,-0.0,-0.0,-0.0,-0.0,0.0
HouseStyle_SFoyer,-0.0,-0.0,0.0,-0.0,-0.0
HouseStyle_SLvl,-0.0,-0.0,-0.0,-0.0,-0.0
RoofStyle_Flat,-0.0,0.0,0.0,0.0,0.0
RoofStyle_Gable,-0.0,-0.0,-0.0,-0.0,-0.0
RoofStyle_Gambrel,0.0,0.0,0.0,0.0,0.0
RoofStyle_Hip,0.0,0.0,0.0,0.0,0.0
RoofStyle_Mansard,-0.0,-0.0,-0.0,-0.0,-0.0
RoofStyle_Shed,0.0,0.0,0.0,0.0,0.0
RoofMatl_ClyTile,-0.0,-0.0,-0.0,-0.0,-0.0
RoofMatl_CompShg,0.0,0.0,0.0,-0.0,-0.0
RoofMatl_Membran,0.0,0.0,0.0,0.0,0.0
RoofMatl_Metal,0.0,0.0,0.0,0.0,0.0
RoofMatl_Roll,-0.0,-0.0,-0.0,-0.0,-0.0
RoofMatl_Tar&Grv,-0.0,-0.0,0.0,0.0,0.0
RoofMatl_WdShake,-0.0,-0.0,-0.0,-0.0,-0.0
RoofMatl_WdShngl,0.0,0.0,0.0,0.0,0.0
Exterior1st_AsbShng,0.0,0.0,-0.0,-0.0,-0.0
Exterior1st_AsphShn,-0.0,-0.0,-0.0,-0.0,-0.0
Exterior1st_BrkComm,-0.0,-0.0,-0.0,-0.0,-0.0
Exterior1st_BrkFace,0.0,0.0,0.0,0.0,0.0
Exterior1st_CBlock,0.0,0.0,0.0,0.0,0.0
Exterior1st_CemntBd,0.0,0.0,0.0,0.0,0.0
Exterior1st_HdBoard,-0.0,-0.0,-0.0,-0.0,-0.0
Exterior1st_ImStucc,0.0,0.0,-0.0,-0.0,-0.0
Exterior1st_MetalSd,0.0,0.0,-0.0,-0.0,-0.0
Exterior1st_Plywood,-0.0,-0.0,-0.0,-0.0,-0.0
Exterior1st_Stone,0.0,0.0,0.0,0.0,0.0
Exterior1st_Stucco,-0.0,-0.0,-0.0,-0.0,-0.0
Exterior1st_VinylSd,0.0,0.0,0.0,0.0,0.0
Exterior1st_Wd Sdng,-0.0,-0.0,-0.0,-0.0,-0.0
Exterior1st_WdShing,-0.0,-0.0,-0.0,-0.0,-0.0
Exterior2nd_AsbShng,0.0,0.0,0.0,-0.0,-0.0
Exterior2nd_AsphShn,-0.0,-0.0,-0.0,-0.0,-0.0
Exterior2nd_Brk Cmn,-0.0,-0.0,-0.0,-0.0,-0.0
Exterior2nd_BrkFace,0.0,0.0,0.0,0.0,0.0
Exterior2nd_CBlock,0.0,0.0,0.0,0.0,0.0
Exterior2nd_CmentBd,0.0,0.0,0.0,0.0,0.0
Exterior2nd_HdBoard,-0.0,-0.0,-0.0,-0.0,-0.0
Exterior2nd_ImStucc,0.0,0.0,0.0,0.0,0.0
Exterior2nd_MetalSd,0.0,0.0,-0.0,-0.0,-0.0
Exterior2nd_Other,0.0,0.0,0.0,0.0,0.0
Exterior2nd_Plywood,-0.0,-0.0,-0.0,-0.0,-0.0
Exterior2nd_Stone,0.0,0.0,0.0,0.0,0.0
Exterior2nd_Stucco,-0.0,-0.0,-0.0,-0.0,-0.0
Exterior2nd_VinylSd,0.0,0.0,0.0,0.0,0.0
Exterior2nd_Wd Sdng,-0.0,-0.0,-0.0,-0.0,-0.0
Exterior2nd_Wd Shng,-0.0,-0.0,-0.0,-0.0,-0.0
MasVnrType_BrkCmn,-0.0,-0.0,-0.0,-0.0,-0.0
MasVnrType_BrkFace,-0.0,-0.0,-0.0,-0.0,-0.0
MasVnrType_None,0.0,0.0,0.0,-0.0,-0.0
MasVnrType_Stone,0.0,0.0,0.0,0.0,0.0
ExterQual_Ex,0.0,0.0,0.0,0.0,0.0
ExterQual_Fa,0.0,0.0,0.0,0.0,0.0
ExterQual_Gd,0.0,0.0,0.0,0.0,0.0
ExterQual_TA,-5646.364908074859,-1808.542512954901,-0.0,-0.0,-0.0
ExterCond_Ex,0.0,0.0,0.0,0.0,0.0
ExterCond_Fa,0.0,0.0,-0.0,-0.0,-0.0
ExterCond_Gd,-0.0,-0.0,0.0,0.0,0.0
ExterCond_Po,0.0,0.0,0.0,0.0,0.0
ExterCond_TA,0.0,0.0,0.0,0.0,0.0
Foundation_BrkTil,-0.0,-0.0,-0.0,-0.0,-0.0
Foundation_CBlock,-0.0,-0.0,-0.0,-0.0,-0.0
Foundation_PConc,0.0,0.0,0.0,0.0,0.0
Foundation_Slab,-0.0,0.0,0.0,0.0,-0.0
Foundation_Stone,0.0,0.0,0.0,0.0,-0.0
Foundation_Wood,-0.0,-0.0,-0.0,-0.0,-0.0
BsmtQual_Ex,23138.34376999676,13872.258922380266,1093.3112942245205,0.0,0.0
BsmtQual_Fa,-0.0,-0.0,-0.0,-0.0,-0.0
BsmtQual_Gd,-0.0,-0.0,-0.0,-0.0,-0.0
BsmtQual_TA,-0.0,-0.0,-0.0,-0.0,-0.0
BsmtCond_Fa,-0.0,-0.0,-0.0,-0.0,-0.0
BsmtCond_Gd,0.0,0.0,0.0,0.0,0.0
BsmtCond_Po,0.0,0.0,0.0,0.0,0.0
BsmtCond_TA,0.0,0.0,0.0,0.0,0.0
BsmtExposure_Av,0.0,0.0,0.0,0.0,0.0
BsmtExposure_Gd,3978.911949759773,0.0,0.0,0.0,0.0
BsmtExposure_Mn,-0.0,0.0,0.0,0.0,0.0
BsmtExposure_No,-5474.401756192891,-3642.068389158878,-159.18282141873016,-0.0,-0.0
BsmtFinType1_ALQ,-0.0,-0.0,-0.0,-0.0,-0.0
BsmtFinType1_BLQ,0.0,-0.0,-0.0,-0.0,-0.0
BsmtFinType1_GLQ,2539.523617624602,0.0,0.0,0.0,0.0
BsmtFinType1_LwQ,-0.0,-0.0,-0.0,-0.0,-0.0
BsmtFinType1_Rec,-0.0,-0.0,-0.0,-0.0,-0.0
BsmtFinType1_Unf,-0.0,-0.0,-0.0,-0.0,-0.0
BsmtFinType2_ALQ,0.0,0.0,0.0,0.0,0.0
BsmtFinType2_BLQ,-0.0,-0.0,-0.0,-0.0,-0.0
BsmtFinType2_GLQ,0.0,0.0,0.0,0.0,0.0
BsmtFinType2_LwQ,-0.0,-0.0,-0.0,-0.0,-0.0
BsmtFinType2_Rec,-0.0,-0.0,-0.0,-0.0,-0.0
BsmtFinType2_Unf,0.0,0.0,-0.0,-0.0,-0.0
Heating_Floor,0.0,0.0,0.0,0.0,0.0
Heating_GasA,0.0,0.0,0.0,0.0,0.0
Heating_GasW,-0.0,-0.0,-0.0,-0.0,-0.0
Heating_Grav,0.0,0.0,0.0,0.0,0.0
Heating_OthW,-0.0,-0.0,-0.0,-0.0,-0.0
Heating_Wall,0.0,0.0,0.0,0.0,0.0
HeatingQC_Ex,1217.358045243231,0.0,0.0,0.0,0.0
HeatingQC_Fa,0.0,0.0,-0.0,-0.0,-0.0
HeatingQC_Gd,-0.0,-0.0,-0.0,-0.0,-0.0
HeatingQC_Po,-0.0,-0.0,-0.0,-0.0,-0.0
HeatingQC_TA,-0.0,-0.0,-0.0,-0.0,-0.0
CentralAir_N,-0.0,-0.0,-0.0,-0.0,-0.0
CentralAir_Y,0.0,0.0,0.0,0.0,0.0
Electrical_FuseA,0.0,0.0,-0.0,-0.0,-0.0
Electrical_FuseF,0.0,0.0,-0.0,-0.0,-0.0
Electrical_FuseP,-0.0,-0.0,-0.0,-0.0,-0.0
Electrical_Mix,-0.0,-0.0,-0.0,-0.0,-0.0
Electrical_SBrkr,-0.0,-0.0,0.0,0.0,0.0
KitchenQual_Ex,19170.671604048726,6920.460337683068,0.0,0.0,0.0
KitchenQual_Fa,0.0,0.0,0.0,0.0,0.0
KitchenQual_Gd,-0.0,-0.0,-0.0,-0.0,0.0
KitchenQual_TA,-1397.0518356633827,-0.0,-0.0,-0.0,-0.0
Functional_Maj1,-0.0,-0.0,-0.0,-0.0,-0.0
Functional_Maj2,-0.0,-0.0,-0.0,-0.0,-0.0
Functional_Min1,-0.0,-0.0,-0.0,-0.0,-0.0
Functional_Min2,-0.0,-0.0,-0.0,-0.0,-0.0
Functional_Mod,-0.0,-0.0,-0.0,-0.0,-0.0
Functional_Sev,-0.0,-0.0,-0.0,-0.0,-0.0
Functional_Typ,0.0,0.0,0.0,0.0,0.0
FireplaceQu_Ex,0.0,0.0,0.0,0.0,0.0
FireplaceQu_Fa,-0.0,-0.0,-0.0,-0.0,-0.0
FireplaceQu_Gd,0.0,0.0,0.0,0.0,0.0
FireplaceQu_Po,-0.0,-0.0,-0.0,-0.0,-0.0
FireplaceQu_TA,-0.0,-0.0,-0.0,-0.0,-0.0
GarageType_2Types,-0.0,-0.0,-0.0,-0.0,-0.0
GarageType_Attchd,-0.0,0.0,0.0,0.0,0.0
GarageType_Basment,-0.0,-0.0,-0.0,-0.0,-0.0
GarageType_BuiltIn,0.0,0.0,0.0,0.0,0.0
GarageType_CarPort,-0.0,-0.0,-0.0,-0.0,-0.0
GarageType_Detchd,-0.0,-0.0,-0.0,-0.0,-0.0
GarageFinish_Fin,0.0,0.0,0.0,0.0,0.0
GarageFinish_RFn,-0.0,-0.0,-0.0,-0.0,-0.0
GarageFinish_Unf,-0.0,-0.0,-0.0,-0.0,-0.0
GarageQual_Ex,0.0,0.0,0.0,0.0,0.0
GarageQual_Fa,-0.0,-0.0,-0.0,-0.0,-0.0
GarageQual_Gd,0.0,0.0,0.0,0.0,0.0
GarageQual_Po,-0.0,-0.0,-0.0,-0.0,-0.0
GarageQual_TA,-0.0,-0.0,-0.0,-0.0,-0.0
GarageCond_Ex,0.0,0.0,0.0,0.0,0.0
GarageCond_Fa,-0.0,-0.0,-0.0,-0.0,-0.0
GarageCond_Gd,-0.0,0.0,0.0,0.0,0.0
GarageCond_Po,-0.0,-0.0,-0.0,-0.0,-0.0
GarageCond_TA,-0.0,-0.0,-0.0,-0.0,0.0
