Feature Name,Alpha = 100.000000,Alpha = 200.000000,Alpha = 300.000000
LotFrontage,2389.1850772336074,2416.963414911663,2323.603754041353
LotArea,1906.9457136620993,1815.1715049134114,1869.0628255532488
OverallQual,15851.810209548003,18123.97134514694,19692.2869305678
YearBuilt,14110.490276362978,12359.603528338383,10729.530189581305
YearRemodAdd,3708.1242431671694,5067.840428125201,5478.010178379598
MasVnrArea,3867.8305127448766,4125.569146417371,4266.88000215014
BsmtFinSF1,12541.918299597737,12506.25614353127,12674.294697340263
BsmtFinSF2,735.8249109845614,261.18036869554203,119.92998872434225
BsmtUnfSF,-0.0,-0.0,-0.0
TotalBsmtSF,9711.050197704333,8164.8421080662665,8252.291850647141
1stFlrSF,-0.0,-0.0,0.0
2ndFlrSF,3518.5538430421784,0.0,0.0
LowQualFinSF,-1864.642262618549,-1894.0018290467021,-1955.7600320856
GrLivArea,37399.73814597298,40485.07676492966,41128.779513020054
BsmtFullBath,3.3204204347549706,0.0,0.0
BsmtHalfBath,-365.43450242521294,-364.8727699394154,-267.28278768664467
FullBath,2238.1969422660304,1350.7333251910322,266.6781219830781
HalfBath,33.21146585561236,0.0,0.0
BedroomAbvGr,-5232.112077543406,-5023.692703760518,-4910.729116617149
KitchenAbvGr,-3068.860796808051,-2937.1369889509842,-3069.309399139123
TotRmsAbvGrd,1456.3722221538028,654.6275804280364,159.55925918720556
Fireplaces,2322.686649136879,1166.4402966612397,1173.1561017043389
GarageCars,4684.910117620486,3473.94696664731,3047.027312296256
GarageArea,2017.7099738650813,2541.3012941905504,3040.499828312051
WoodDeckSF,2490.8643673409606,2551.2903180046574,2386.021972278103
OpenPorchSF,1035.042919272459,990.4926427848474,820.6896790803328
EnclosedPorch,-237.77515767192872,-382.1406982579106,-460.9585117060254
3SsnPorch,287.801415144375,175.8216222146432,103.83861365938874
ScreenPorch,1588.0810689601847,1511.4055957437072,1363.245541678978
PoolArea,3024.0476547038916,2507.0579913611996,2242.5446458164315
MiscVal,-0.0,-0.0,0.0
MSSubClass_120,-0.0,-0.0,-0.0
MSSubClass_160,-1586.94878776722,-0.0,-0.0
MSSubClass_180,0.0,0.0,0.0
MSSubClass_190,0.0,0.0,0.0
MSSubClass_20,0.0,0.0,0.0
MSSubClass_30,0.0,0.0,0.0
MSSubClass_40,0.0,0.0,0.0
MSSubClass_45,0.0,0.0,0.0
MSSubClass_50,-0.0,-0.0,-0.0
MSSubClass_60,264.51702043058737,97.78901184712902,0.0
MSSubClass_70,-0.0,-0.0,-0.0
MSSubClass_75,-0.0,-0.0,-0.0
MSSubClass_80,0.0,-0.0,-0.0
MSSubClass_85,-0.0,-0.0,-0.0
MSSubClass_90,-0.0,-0.0,-0.0
MSZoning_C (all),-9714.312826317499,-0.0,-0.0
MSZoning_FV,0.0,0.0,0.0
MSZoning_RH,0.0,0.0,-0.0
MSZoning_RL,151.8427432173553,0.0,0.0
MSZoning_RM,-4836.594338012414,-3344.551589427516,-2768.87488006648
Street_Grvl,-0.0,-0.0,-0.0
Street_Pave,0.0,0.0,0.0
Alley_Grvl,-0.0,-0.0,-0.0
Alley_None,0.0,0.0,0.0
Alley_Pave,-0.0,-0.0,-0.0
LotShape_IR1,-0.0,0.0,0.0
LotShape_IR2,224.5834614593553,0.0,0.0
LotShape_IR3,-0.0,-0.0,-0.0
LotShape_Reg,-0.0,-55.35734556448097,-582.4503164815255
LandContour_Bnk,-0.0,-0.0,-0.0
LandContour_HLS,1239.2063001825827,0.0,0.0
LandContour_Low,-1511.0182107315893,-0.0,-0.0
LandContour_Lvl,0.0,0.0,-0.0
LotConfig_Corner,-0.0,-0.0,-0.0
LotConfig_CulDSac,7867.141283101857,5917.363934126691,3758.4971339966796
LotConfig_FR2,-1723.8554640324783,-0.0,-0.0
LotConfig_FR3,-0.0,-0.0,-0.0
LotConfig_Inside,0.0,0.0,-0.0
LandSlope_Gtl,0.0,0.0,0.0
LandSlope_Mod,0.0,0.0,0.0
LandSlope_Sev,-7005.809551144628,-0.0,-0.0
Neighborhood_Blmngtn,0.0,-0.0,-0.0
Neighborhood_Blueste,0.0,0.0,0.0
Neighborhood_BrDale,0.0,-0.0,-0.0
