Feature Name,Alpha = 75.000000,Alpha = 100.000000,Alpha = 200.000000,Alpha = 300.000000
LotFrontage,1683.5925166473523,1743.714793868509,1635.782582035743,1561.127187697134
LotArea,1857.2150160442982,1758.1866532708173,1677.816712548816,1736.1023728244277
MasVnrArea,2570.6667921077014,2701.8883254696225,3140.147857435662,3668.414829000519
BsmtFinSF1,12155.839388114258,12111.299728768932,11930.30840652906,11926.870950230024
BsmtFinSF2,1374.846498998971,1070.3674226599862,693.4017035341213,494.1269216856385
BsmtUnfSF,-0.0,-0.0,-0.0,-0.0
TotalBsmtSF,9979.598928821042,9780.36271081294,10696.507776204317,11494.14580461925
1stFlrSF,28.949917167724667,605.3452331471192,147.8292691250298,0.0
2ndFlrSF,0.0,0.0,0.0,0.0
LowQualFinSF,-2238.078097881258,-2212.1583532760615,-2352.3341307929145,-2566.8530442516153
GrLivArea,35013.12060873896,35109.0570353923,36455.456463006965,37177.25708790744
GarageArea,5425.434248209927,5333.285141975517,5942.538092378302,6610.9215415730105
WoodDeckSF,1715.020656751932,1734.8064360283895,1972.6440188188185,1965.0553242616797
OpenPorchSF,839.9631729463903,798.7297448879319,773.2039209124126,714.6535904221853
EnclosedPorch,-407.29250780337907,-459.2469329811573,-574.130958178403,-666.6535162016054
3SsnPorch,1030.9649805763934,950.736030140358,800.7660860750708,641.6054217648291
ScreenPorch,1620.1730820557207,1648.705341290756,1621.2679282539057,1474.0705342642952
PoolArea,2585.8805413513737,2506.893273615082,2249.9297424556144,2159.2715773928153
MiscVal,-0.0,0.0,0.0,0.0
MSSubClass_120,0.0,0.0,0.0,0.0
MSSubClass_160,-0.0,-0.0,-0.0,-0.0
MSSubClass_180,-0.0,-0.0,-0.0,-0.0
MSSubClass_190,-0.0,-0.0,-0.0,-0.0
MSSubClass_20,4173.267442869593,3649.9490248290226,3035.382631988369,2023.4381981290487
MSSubClass_30,-0.0,-0.0,-0.0,-0.0
MSSubClass_40,0.0,0.0,0.0,0.0
MSSubClass_45,0.0,0.0,0.0,0.0
MSSubClass_50,-0.0,-0.0,-0.0,-0.0
