Feature Name,Alpha = 200.000000,Alpha = 500.000000,Alpha = 800.000000,Alpha = 1200.000000
MSSubClass,-7084.493414532552,-6761.675015772827,-6412.009671470443,-5830.212299060749
LotFrontage,-1112.2071761592863,-1720.519078873999,-740.3062240124809,-0.0
LotArea,3485.5731513211936,3708.420768155191,3576.98122349924,3404.1318932174627
OverallQual,13401.637930350407,17137.72799437724,19280.623810538196,21323.832110030282
OverallCond,5929.775028323562,5540.448993006823,4980.205026550311,3736.5286047179125
YearBuilt,6237.01330791055,5977.485545966756,6588.4428638628715,6571.883323866433
YearRemodAdd,1017.7596570307174,1233.6886032501325,1763.328658646477,2940.9151203935708
MasVnrArea,3199.625631418103,3768.5116778415136,3918.686049934444,4264.7098133671225
BsmtFinSF1,2308.275472984119,1887.16495441517,2978.58193790719,3621.157403813633
BsmtFinSF2,0.0,0.0,0.0,0.0
BsmtUnfSF,-0.0,-0.0,-0.0,-0.0
TotalBsmtSF,2734.4214213481255,2485.371339807454,2851.0884117023506,3481.0682666702296
1stFlrSF,0.0,0.0,0.0,0.0
2ndFlrSF,1523.5471893779215,0.0,0.0,0.0
LowQualFinSF,-895.8347453273951,-507.56501762613385,-328.4752552974201,-0.0
GrLivArea,23693.593113618907,23320.836562371696,23920.52226957744,24058.942810876673
BsmtFullBath,3166.437750075004,3492.340372794759,3352.4250541095275,3171.6582239971735
BsmtHalfBath,0.0,0.0,0.0,0.0
FullBath,3048.6825439729514,2926.587539774447,2172.2778790223474,1555.8971622230977
HalfBath,827.7366288930479,548.4619665908259,57.4299707868056,0.0
BedroomAbvGr,-2080.932966784292,-1778.342296521733,-1576.469651451914,-1086.3842360601782
KitchenAbvGr,-2744.949718915721,-2188.8427288066964,-1836.9048363081959,-1571.2919127914915
TotRmsAbvGrd,3876.214469198714,3246.843007548354,2233.77242418852,1238.477372635335
Fireplaces,2588.1446322210923,2997.4895530686167,3179.1430776825455,3099.206392336634
GarageYrBlt,0.0,0.0,0.0,0.0
GarageCars,6811.155472081092,7476.4229382282965,7791.287556830253,8013.2411859928925
GarageArea,72.42089499088246,0.0,0.0,0.0
WoodDeckSF,2204.158137732872,2290.6743137302674,2288.8648781782113,2287.4333419941936
OpenPorchSF,-0.0,-0.0,-0.0,0.0
EnclosedPorch,0.0,0.0,0.0,-0.0
3SsnPorch,720.6683357999661,560.5456702548524,251.15063771068833,0.0
ScreenPorch,2240.9190946530703,2250.9881533522052,1965.4250730545946,1566.8559196951949
PoolArea,723.5250018023132,-0.0,-24.705715705036276,-0.0
MiscVal,-47.88152921449315,-0.0,-0.0,-0.0
MoSold,-602.6880808282269,-0.0,-0.0,-0.0
YrSold,-299.9942783704459,-65.61553541575377,-0.0,-0.0
MSZoning_C (all),-0.0,-0.0,-0.0,-0.0
MSZoning_FV,0.0,0.0,0.0,0.0
MSZoning_RH,0.0,-0.0,-0.0,-0.0
MSZoning_RL,0.0,0.0,0.0,0.0
MSZoning_RM,-4466.337695488149,-3931.481585723994,-1631.8359545552942,-0.0
Street_Grvl,-0.0,-0.0,-0.0,-0.0
Street_Pave,0.0,0.0,0.0,0.0
Alley_Grvl,-0.0,-0.0,-0.0,-0.0
Alley_Pave,-0.0,-0.0,-0.0,-0.0
LotShape_IR1,-0.0,0.0,0.0,0.0
