,VehicleID,FinancialYear,VehicleType,Manufacturer,ConditionScore,Year,ManufacturerAndVehicleType
0,31,2008-09,Light Goods Vehicle,Volkswagen,55,2008,Light Goods Vehicle Volkswagen
1,31,2009-10,Light Goods Vehicle,Volkswagen,80,2009,Light Goods Vehicle Volkswagen
2,95,2005-06,Heavy Goods Vehicle,DAF,50,2005,Heavy Goods Vehicle DAF
3,111,2002-03,Light Goods Vehicle,Iveco,65,2002,Light Goods Vehicle Iveco
4,112,2004-05,Personnel Vehicle,Renault,100,2004,Personnel Vehicle Renault
5,113,2002-03,Heavy Goods Vehicle,Iveco,5,2002,Heavy Goods Vehicle Iveco
6,113,2006-07,Heavy Goods Vehicle,Iveco,30,2006,Heavy Goods Vehicle Iveco
7,115,2005-06,Heavy Goods Vehicle,DAF,70,2005,Heavy Goods Vehicle DAF
8,116,2002-03,Heavy Goods Vehicle,DAF,30,2002,Heavy Goods Vehicle DAF
9,116,2008-09,Heavy Goods Vehicle,DAF,65,2008,Heavy Goods Vehicle DAF
10,118,2007-08,Light Goods Vehicle,Ford,40,2007,Light Goods Vehicle Ford
11,119,2000-01,Personnel Vehicle,Ford,55,2000,Personnel Vehicle Ford
12,120,2001-02,Heavy Goods Vehicle,DAF,60,2001,Heavy Goods Vehicle DAF
13,120,2003-04,Heavy Goods Vehicle,DAF,30,2003,Heavy Goods Vehicle DAF
14,120,2009-10,Heavy Goods Vehicle,DAF,15,2009,Heavy Goods Vehicle DAF
15,120,2011-12,Heavy Goods Vehicle,DAF,30,2011,Heavy Goods Vehicle DAF
16,124,2000-01,Heavy Goods Vehicle,MAN,10,2000,Heavy Goods Vehicle MAN
17,124,2007-08,Heavy Goods Vehicle,MAN,5,2007,Heavy Goods Vehicle MAN
18,124,2011-12,Heavy Goods Vehicle,MAN,5,2011,Heavy Goods Vehicle MAN
19,125,2004-05,Light Goods Vehicle,MAN,65,2004,Light Goods Vehicle MAN
20,127,2007-08,Personnel Vehicle,MAN,70,2007,Personnel Vehicle MAN
21,128,2007-08,Light Goods Vehicle,Iveco,65,2007,Light Goods Vehicle Iveco
22,129,2001-02,Light Goods Vehicle,Iveco,70,2001,Light Goods Vehicle Iveco
23,129,2007-08,Light Goods Vehicle,Iveco,50,2007,Light Goods Vehicle Iveco
24,130,2004-05,Heavy Goods Vehicle,Renault,30,2004,Heavy Goods Vehicle Renault
25,130,2010-11,Heavy Goods Vehicle,Renault,30,2010,Heavy Goods Vehicle Renault
26,131,2003-04,Personnel Vehicle,Renault,80,2003,Personnel Vehicle Renault
27,132,2005-06,Light Goods Vehicle,Renault,50,2005,Light Goods Vehicle Renault
28,134,2006-07,Light Goods Vehicle,Renault,50,2006,Light Goods Vehicle Renault
29,136,2005-06,Heavy Goods Vehicle,DAF,65,2005,Heavy Goods Vehicle DAF
30,136,2011-12,Heavy Goods Vehicle,DAF,50,2011,Heavy Goods Vehicle DAF
31,137,2003-04,Light Goods Vehicle,DAF,50,2003,Light Goods Vehicle DAF
32,137,2010-11,Light Goods Vehicle,DAF,65,2010,Light Goods Vehicle DAF
33,139,2008-09,Personnel Vehicle,Ford,85,2008,Personnel Vehicle Ford
34,142,2001-02,Light Goods Vehicle,Renault,20,2001,Light Goods Vehicle Renault
35,142,2006-07,Light Goods Vehicle,Renault,20,2006,Light Goods Vehicle Renault
