,VehicleID,FinancialYear,VehicleType,Manufacturer,ConditionScore,Year,Month
0,31,2008-09,Light Goods Vehicle,Volkswagen,55,2008,9
1,31,2009-10,Light Goods Vehicle,Volkswagen,80,2009,10
2,95,2005-06,Heavy Goods Vehicle,DAF,50,2005,6
3,111,2002-03,Light Goods Vehicle,Iveco,65,2002,3
4,112,2004-05,Personnel Vehicle,Renault,100,2004,5
5,113,2002-03,Heavy Goods Vehicle,Iveco,5,2002,3
6,113,2006-07,Heavy Goods Vehicle,Iveco,30,2006,7
7,115,2005-06,Heavy Goods Vehicle,DAF,70,2005,6
8,116,2002-03,Heavy Goods Vehicle,DAF,30,2002,3
9,116,2008-09,Heavy Goods Vehicle,DAF,65,2008,9
10,118,2007-08,Light Goods Vehicle,Ford,40,2007,8
11,119,2000-01,Personnel Vehicle,Ford,55,2000,1
12,120,2001-02,Heavy Goods Vehicle,DAF,60,2001,2
13,120,2003-04,Heavy Goods Vehicle,DAF,30,2003,4
14,120,2009-10,Heavy Goods Vehicle,DAF,15,2009,10
15,120,2011-12,Heavy Goods Vehicle,DAF,30,2011,12
16,124,2000-01,Heavy Goods Vehicle,MAN,10,2000,1
17,124,2007-08,Heavy Goods Vehicle,MAN,5,2007,8
18,124,2011-12,Heavy Goods Vehicle,MAN,5,2011,12
19,125,2004-05,Light Goods Vehicle,MAN,65,2004,5
20,127,2007-08,Personnel Vehicle,MAN,70,2007,8
21,128,2007-08,Light Goods Vehicle,Iveco,65,2007,8
22,129,2001-02,Light Goods Vehicle,Iveco,70,2001,2
23,129,2007-08,Light Goods Vehicle,Iveco,50,2007,8
24,130,2004-05,Heavy Goods Vehicle,Renault,30,2004,5
25,130,2010-11,Heavy Goods Vehicle,Renault,30,2010,11
26,131,2003-04,Personnel Vehicle,Renault,80,2003,4
27,132,2005-06,Light Goods Vehicle,Renault,50,2005,6
28,134,2006-07,Light Goods Vehicle,Renault,50,2006,7
29,136,2005-06,Heavy Goods Vehicle,DAF,65,2005,6
30,136,2011-12,Heavy Goods Vehicle,DAF,50,2011,12
31,137,2003-04,Light Goods Vehicle,DAF,50,2003,4
32,137,2010-11,Light Goods Vehicle,DAF,65,2010,11
33,139,2008-09,Personnel Vehicle,Ford,85,2008,9
34,142,2001-02,Light Goods Vehicle,Renault,20,2001,2
35,142,2006-07,Light Goods Vehicle,Renault,20,2006,7
36,144,2002-03,Heavy Goods Vehicle,Iveco,10,2002,3
37,146,2003-04,Heavy Goods Vehicle,Volkswagen,70,2003,4
38,146,2011-12,Heavy Goods Vehicle,Volkswagen,50,2011,12
39,147,2004-05,Light Goods Vehicle,Iveco,55,2004,5
40,148,2002-03,Light Goods Vehicle,Renault,40,2002,3
41,148,2010-11,Light Goods Vehicle,Renault,50,2010,11
42,149,2011-12,Light Goods Vehicle,Renault,50,2011,12
43,151,2005-06,Light Goods Vehicle,DAF,55,2005,6
44,156,2008-09,Light Goods Vehicle,Ford,70,2008,9
45,159,2005-06,Light Goods Vehicle,Iveco,20,2005,6
46,160,2002-03,Light Goods Vehicle,Iveco,50,2002,3
47,160,2006-07,Light Goods Vehicle,Iveco,20,2006,7
48,161,2007-08,Heavy Goods Vehicle,MAN,65,2007,8
49,163,2001-02,Light Goods Vehicle,Iveco,68,2001,2
50,165,2007-08,Heavy Goods Vehicle,Volkswagen,40,2007,8
51,167,2001-02,Light Goods Vehicle,Iveco,70,2001,2
52,167,2007-08,Light Goods Vehicle,Iveco,65,2007,8
53,168,2004-05,Light Goods Vehicle,Renault,20,2004,5
